Id,Pontos,Estado,Genero,Idade,Bens,Saldo na Conta,Produto,Possui cartao,Ativo,Salario,Saiu
121,699,CE,M,34,4,18517381,2,1,0,12083448,0
122,828,MA,Masculino,34,8,12943334,2,0,0,3813177,0
123,674,CE,Masculino,39,6,12019342,1,0,0,10013095,0
124,656,MA,Feminino,39,6,0,2,1,0,14106988,0
125,684,CE,Feminino,48,10,12638442,1,1,1,19812936,0
126,625,MA,Feminino,28,3,0,1,0,0,18364641,0
127,432,MA,Masculino,42,9,15260345,1,1,0,11026524,1
128,549,MA,Feminino,52,1,0,1,0,1,863605,1
129,625,CE,Masculino,56,0,14850724,1,1,0,4682408,1
130,828,MA,Feminino,41,7,0,2,1,0,17137877,0
131,770,MA,Masculino,24,9,10182707,1,1,0,16725635,0
132,758,MA,Feminino,34,3,0,2,1,1,12422616,0
133,795,CE,F,33,9,13086243,1,1,1,11493521,0
134,687,MA,Masculino,38,9,12257087,1,1,1,3560888,0
135,686,MA,Masculino,25,1,0,2,0,1,1645937,0
136,789,RJ,Masculino,39,7,12482846,2,1,1,12441108,0
137,589,RJ,Feminino,50,5,14489505,2,1,1,3494123,0
138,461,RJ,Feminino,34,5,6366393,1,0,1,16778428,0
139,637,RJ,Masculino,40,2,1334631,1,0,1,9316534,0
140,584,CE,Feminino,48,2,2131462,1,1,0,7516125,1
141,579,CE,Feminino,35,1,12949036,2,0,1,859083,1
142,756,CE,Masculino,44,10,13745209,1,1,0,1895439,0
143,663,MA,Fem,34,7,0,2,1,1,18042724,0
144,682,MA,Feminino,43,5,12585193,1,1,1,19331833,0
145,793,CE,Masculino,52,2,0,1,1,0,15912382,1
146,691,MA,Feminino,31,5,4091555,1,1,0,12621384,1
147,485,CE,Feminino,21,5,11315722,1,1,1,541415,0
148,635,CE,Feminino,29,8,13829694,2,1,0,14107551,0
149,650,MA,Masculino,37,5,10696718,1,0,0,2449503,0
150,735,MA,Masculino,44,9,12068163,1,1,0,7483634,0
151,416,MA,Masculino,32,0,0,2,0,1,87887,0
152,754,CE,Feminino,32,7,0,2,1,0,8952075,0
153,535,MA,Feminino,48,9,0,1,1,0,14989279,1
154,716,CE,Masculino,42,8,0,2,1,0,18080042,0
155,539,MA,Masculino,37,2,12760959,1,1,0,9864622,0
156,614,MA,Feminino,43,6,0,2,1,1,10904153,0
157,706,CE,Masculino,57,7,0,1,1,0,1794116,1
158,758,MA,Feminino,33,7,0,2,0,0,8299647,0
159,586,CE,Feminino,28,2,0,2,1,1,9206735,0
160,646,MA,Feminino,73,6,9725925,1,0,1,10471966,0
161,631,CE,Feminino,33,4,1232467,1,0,0,11268757,0
162,717,CE,Feminino,22,6,10106025,1,0,1,8469956,0
163,684,MA,Masculino,30,2,0,2,1,0,8347382,0
164,800,MA,Feminino,49,7,10800736,1,0,0,4712511,0
165,721,CE,Feminino,36,2,0,2,1,1,1069778,0
166,683,CE,Masculino,29,0,13370289,1,1,0,5558254,1
167,660,CE,Masculino,31,9,12518975,2,1,1,13987443,0
168,704,CE,Feminino,24,7,11303422,1,1,0,16250348,1
169,615,CE,Feminino,41,9,10901323,1,1,0,19649996,0
170,667,CE,Feminino,39,2,0,2,1,0,4072124,1
171,682,CE,Masculino,24,9,5792981,2,0,0,531343,0
172,484,MA,Feminino,29,4,13011439,1,1,0,1640178900,0
173,628,CE,Masculino,27,5,9582649,2,1,0,15599696,0
174,480,CE,Masculino,44,10,12960857,1,1,0,54727,1
175,578,MA,Masculino,30,4,16946209,1,1,0,11218711,0
176,512,MA,Masculino,40,5,0,2,1,1,14645783,0
177,484,CE,Feminino,35,7,13386821,1,1,1,272861,0
178,510,MA,Feminino,30,0,0,2,1,1,13055347,0
179,606,CE,Masculino,36,5,19047948,2,0,0,17935189,0
180,597,CE,Feminino,40,8,10199312,1,0,1,9477412,0
181,754,CE,Feminino,55,3,16160881,1,1,0,,1
182,850,CE,Feminino,45,2,12231121,1,1,1,194825,0
183,510,MA,Masculino,65,2,0,2,1,1,4807161,0
184,778,CE,Feminino,45,1,16215042,2,1,0,17453127,0
185,636,MA,Masculino,42,2,0,2,1,1,5547078,0
186,804,MA,Feminino,50,4,0,1,1,1,854687,1
187,514,MA,Masculino,32,8,0,2,1,0,9585718,0
188,730,MA,Feminino,39,1,9901067,1,1,0,1949458,0
189,525,CE,Feminino,37,0,0,1,0,1,13152172,0
190,616,CE,Masculino,30,5,0,2,0,1,19610851,0
191,687,CE,Feminino,34,7,11138818,2,1,0,14856476,0
192,715,MA,Feminino,41,8,5621485,2,0,0,9298261,1
193,512,MA,Feminino,36,3,8432777,2,1,0,1767536,0
194,479,MA,Masculino,40,1,0,2,0,0,11499643,0
195,601,MA,Masculino,32,8,9301289,1,1,0,8695742,0
196,580,CE,Masculino,29,9,6171044,2,1,0,1280778,0
197,807,MA,Masculino,35,3,17479015,1,1,1,60036,0
198,616,CE,Feminino,32,6,0,2,1,1,4300146,0
199,721,CE,Masculino,37,3,10772064,1,1,1,15859112,0
200,501,MA,Masculino,57,10,0,2,1,1,4784719,0
201,521,MA,Masculino,35,6,9642384,1,1,0,1048844,0
202,850,CE,Masculino,30,2,14104001,1,1,1,59782,0
203,759,MA,Masculino,42,4,10542018,1,0,1,12140906,0
204,516,CE,Masculino,50,5,0,1,0,1,14614593,1
205,711,MA,Feminino,38,2,12902206,2,1,1,1437486,1
206,512,CE,Masculino,33,3,17666662,1,1,0,9467077,0
207,550,MA,Masculino,37,3,0,1,1,1,17967031,0
208,608,CE,Feminino,41,3,8976384,1,0,0,19930474,1
209,618,MA,Masculino,34,5,13495453,1,1,1,15195439,0
210,643,MA,Masculino,45,5,0,1,1,0,1425135,1
211,671,MA,Masculino,45,2,10637685,1,0,1,15826462,0
212,689,CE,Masculino,33,2,16181464,2,1,0,1693819,0
213,603,MA,Masculino,31,8,0,2,1,1,16991502,0
214,620,MA,Feminino,41,9,0,2,0,0,8885247,0
215,676,MA,,34,1,6309501,1,1,1,4064581,0
216,572,CE,Masculino,26,4,11828701,2,0,0,604273,0
217,668,CE,Masculino,47,7,10685421,1,0,1,15795902,1
218,695,MA,Masculino,46,7,4951255,1,1,0,13300734,0
219,730,CE,Feminino,33,9,0,2,0,0,17657662,0
220,807,MA,Masculino,43,1,10579932,2,1,0,3488804,1
221,592,MA,Masculino,54,8,0,1,1,1,2873771,1
222,726,MA,Feminino,31,9,11472205,2,1,1,9817857,0
223,514,CE,Masculino,30,7,0,1,0,1,12501024,0
224,567,MA,Masculino,42,2,0,2,1,1,16798461,0
225,850,MA,Masculino,33,10,0,1,1,0,486172,1
226,671,CE,Masculino,45,6,9956422,1,1,1,10887245,1
227,670,MA,Masculino,37,4,17055791,2,1,0,19825288,0
228,694,MA,Feminino,30,9,0,2,1,1,2696031,0
229,547,CE,Feminino,39,6,7459615,3,1,1,8574652,1
230,751,CE,Masculino,50,2,9688839,1,1,0,7720625,1
231,594,CE,Feminino,29,3,13083022,1,1,0,6104853,0
232,673,MA,Masculino,72,1,0,2,0,1,1119811900,0
233,610,MA,Masculino,40,0,0,2,1,0,622326,0
234,512,MA,Feminino,37,1,0,2,0,1,15610503,0
235,767,CE,Masculino,20,3,11971425,2,0,1,15013538,0
236,585,MA,Feminino,67,5,11397897,2,0,1,9314611,0
237,763,CE,Masculino,42,6,10016075,1,1,0,3346294,1
238,712,MA,Feminino,29,2,0,1,1,1,144375,0
239,539,CE,Feminino,43,3,1162205,3,1,0,5580396,1
240,668,MA,Feminino,46,2,0,3,1,0,8904846,1
241,703,MA,Masculino,28,2,8117383,2,0,1,16281216,0
242,662,CE,Masculino,38,4,0,2,1,0,13625965,0
243,725,CE,Feminino,39,5,1168038,1,1,0,12405297,0
244,703,MA,Masculino,37,8,10596168,2,0,1,10000,0
245,659,CE,Masculino,67,6,1174116,1,1,1,4507109,1
246,523,CE,Masculino,34,7,0,2,1,0,6203006,0
247,635,MA,Feminino,40,10,12349758,1,1,0,13195323,1
248,772,CE,Masculino,26,7,15240051,2,1,0,79414,0
249,545,MA,Feminino,26,1,0,2,1,1,19963856,0
250,634,CE,Masculino,24,8,10309785,1,1,1,15757729,0
251,739,CE,Masculino,54,8,12641814,1,1,0,13442075,1
252,771,CE,Feminino,36,5,778469,1,0,0,9980599,0
253,587,CE,Feminino,34,1,0,2,1,1,9793268,0
254,681,MA,Feminino,79,0,0,2,0,1,17096899,0
255,544,CE,Masculino,37,2,7973191,1,1,1,5755895,0
256,696,CE,Masculino,28,8,0,1,0,0,17671347,0
257,766,CE,Masculino,41,0,0,2,0,1,3428323,0
258,727,MA,Masculino,34,10,0,2,1,1,19863734,0
259,671,CE,Feminino,34,6,3726667,2,0,0,15691712,0
260,693,MA,Feminino,30,6,12799225,1,1,1,504572,0
261,850,CE,Masculino,38,3,5490101,1,1,1,14007555,0
262,732,CE,Masculino,42,9,10874808,2,1,1,6532311,0
263,726,CE,Feminino,48,6,9990619,1,1,0,6432324,0
264,557,MA,Feminino,32,6,18468641,2,1,0,1495644,0
265,682,MA,Feminino,26,0,11065402,1,0,1,11187921,0
266,738,CE,Masculino,31,9,790198,1,1,1,1860623,0
267,531,CE,Feminino,36,9,9924051,1,1,0,12313701,0
268,498,MA,Masculino,34,2,0,2,1,1,14852824,0
269,651,MA,Masculino,36,7,0,2,1,0,1389831,0
270,549,CE,Feminino,39,7,0,1,0,0,8125925,1
271,791,CE,Feminino,35,7,524362,1,1,0,16105175,0
272,650,CE,Masculino,41,9,0,2,0,1,19159967,0
273,733,CE,Masculino,34,3,10033796,3,1,0,4855919,1
274,811,CE,Feminino,34,1,14929719,2,1,1,18633974,0
275,707,MA,Masculino,30,8,0,2,1,0,3315937,0
276,712,CE,Masculino,28,4,14560544,1,0,1,9388353,0
277,706,CE,Feminino,37,7,0,2,1,1,1108993,0
278,756,MA,Masculino,62,3,0,1,1,1,1119904,1
279,777,MA,Feminino,53,10,0,2,1,0,10000,0
280,646,MA,Masculino,35,6,8402686,1,0,1,16425569,0
281,714,MA,Masculino,46,1,0,1,1,0,15216779,1
282,782,MA,Masculino,39,8,0,2,1,1,3394967,0
283,775,CE,Masculino,29,10,0,2,1,1,6814393,0
284,479,CE,Masculino,35,4,13871892,1,1,1,4725179,1
285,807,MA,Masculino,42,7,11827471,1,1,1,2588572,0
286,799,MA,Feminino,22,8,17418598,2,0,1,19263385,0
287,675,MA,Masculino,40,7,11320886,2,1,0,3457736,0
288,602,CE,Masculino,29,5,10390728,1,1,0,16122984,0
289,475,MA,Feminino,32,8,11902328,1,1,0,10081629,0
290,744,CE,Feminino,26,5,16629789,1,1,1,18169444,0
291,588,CE,Masculino,34,10,0,2,1,0,7907891,0
292,703,CE,Masculino,42,9,63227,1,0,1,13731632,0
293,747,CE,Feminino,41,5,9452117,2,1,0,19492686,0
294,583,MA,Masculino,27,7,0,2,1,0,5128549,0
295,750,CE,Feminino,34,9,11282226,1,0,0,15040153,1
296,681,MA,Masculino,38,3,0,2,1,1,11249196,0
297,773,MA,Masculino,25,2,13590333,1,1,0,7365638,0
298,714,MA,,31,4,12516926,1,1,1,10663689,0
299,687,CE,Feminino,44,7,0,3,1,0,15585352,1
300,511,MA,Masculino,58,0,14911731,1,1,1,16259951,0
301,627,MA,Masculino,33,5,0,2,1,1,10373782,0
302,694,MA,Feminino,31,10,0,2,1,0,16099027,0
303,616,CE,Feminino,36,6,13231171,1,0,0,1546284,0
304,687,MA,Masculino,35,8,0,2,1,0,1033405,0
305,712,MA,Feminino,33,6,0,2,1,1,19068616,0
306,553,MA,Masculino,33,4,11808289,1,0,0,9444045,0
307,667,MA,Masculino,31,1,11926669,1,1,1,2825763,0
308,731,MA,Masculino,43,2,0,1,1,1,17003495,1
309,629,CE,Masculino,35,7,15684729,2,1,0,3182429,0
310,614,MA,Masculino,50,4,13710447,1,1,0,12716649,1
311,438,CE,Masculino,31,8,7839869,1,1,0,4493701,0
312,652,MA,Feminino,80,4,0,2,1,1,18860307,0
313,729,CE,Masculino,30,6,6366942,1,1,0,14511137,0
314,642,MA,Masculino,38,3,0,2,0,0,17146383,0
315,806,CE,Feminino,59,0,13529633,1,1,0,1828225,0
316,744,CE,Masculino,36,2,15380444,1,1,1,10000,0
317,474,CE,Masculino,37,3,0,2,0,0,5717532,0
318,559,MA,Masculino,49,2,14706978,1,1,0,12054083,1
319,706,CE,Masculino,42,9,0,2,1,1,2871434,0
320,628,CE,Feminino,22,3,0,1,1,0,8542628,0
321,429,MA,Masculino,24,4,9574175,1,1,0,4617075,0
322,525,CE,Feminino,57,2,14596533,1,1,1,6444836,0
323,680,MA,Feminino,30,8,14144175,1,1,1,1627897,0
324,749,MA,Masculino,40,1,13929041,1,1,0,18285542,1
325,763,MA,Feminino,31,4,0,2,0,0,5040472,0
326,734,MA,Masculino,30,3,0,2,1,0,10764025,0
327,716,MA,Masculino,35,4,14442887,1,1,0,13413265,0
328,594,MA,Masculino,35,2,0,2,1,0,10348069,0
329,644,MA,Feminino,46,9,9544127,1,1,0,10876105,1
330,671,CE,Masculino,35,1,14484874,1,1,1,1790123,0
331,664,CE,Masculino,26,7,11624414,2,1,1,9514514,0
332,656,MA,Masculino,50,7,0,2,0,1,,0
333,667,CE,Feminino,40,1,14650207,1,1,0,1916289,0
334,663,CE,Masculino,44,2,1170286,2,0,1,14468018,0
335,584,CE,Feminino,30,8,11201381,1,1,0,17777203,1
336,626,CE,Feminino,37,6,10826937,1,1,0,559794,0
337,485,MA,Masculino,29,7,18212379,1,1,0,11682851,1
338,659,CE,Feminino,32,3,15092374,2,0,1,17465251,0
339,649,MA,Masculino,33,2,0,2,1,0,201098,0
340,805,CE,Feminino,39,5,16527213,1,1,0,1410985,1
341,716,CE,Feminino,39,10,11530131,1,1,0,435274,1
342,642,CE,Feminino,40,6,12950249,2,0,1,8609923,1
343,659,MA,Masculino,31,4,11834226,1,0,0,16157419,0
344,545,CE,Feminino,47,5,0,2,1,1,3897014,0
345,543,MA,Masculino,22,8,0,2,0,0,12758722,0
346,718,MA,Feminino,25,7,0,2,1,0,3038012,0
347,840,MA,Feminino,43,7,0,2,1,0,9090895,0
348,630,CE,Feminino,34,9,10693705,2,1,0,13827501,0
349,643,CE,Masculino,59,3,17033137,1,1,1,3217179,0
350,654,CE,Feminino,32,1,11451085,1,1,1,12614323,0
351,582,MA,Masculino,39,5,0,2,1,1,12989293,0
352,659,CE,Masculino,32,3,10759411,2,1,1,10241684,0
353,762,CE,Masculino,39,2,8127313,1,1,1,1871967,0
354,568,CE,Feminino,32,7,1693996,1,1,0,6193622,0
355,670,CE,Masculino,25,6,0,2,1,1,7835894,0
356,613,MA,Feminino,45,1,18784199,2,1,1,14722427,0
357,539,MA,Masculino,30,0,0,2,1,0,16097966,0
358,850,CE,Feminino,57,8,1267763,2,1,1,13229849,0
359,522,CE,Masculino,34,9,12643629,1,1,0,17424852,1
360,737,MA,Masculino,41,1,10196074,1,1,1,12354728,0
361,520,MA,Masculino,58,3,0,2,0,1,3279002,0
362,706,CE,Masculino,28,3,0,2,0,1,18154367,0
363,643,CE,Feminino,45,2,15084293,1,0,1,231996,1
364,648,MA,Feminino,50,9,10253557,1,1,1,18954319,0
365,443,CE,Feminino,29,9,9902761,2,1,0,109404,0
366,640,MA,Masculino,68,9,0,2,1,1,19949338,0
367,628,CE,Feminino,33,3,0,1,1,1,18819325,0
368,540,CE,Feminino,42,9,8727141,2,1,0,17257264,0
369,460,CE,Feminino,35,8,10274291,2,1,1,1893396,0
370,636,CE,Masculino,34,2,4010551,2,0,1,5351216,0
371,593,MA,Feminino,29,2,15226543,1,1,0,3400444,0
372,801,CE,,42,4,14194767,1,1,1,1059829,0
373,640,CE,Feminino,75,1,10630791,2,0,1,11342877,0
374,611,CE,Masculino,31,0,10788481,2,1,1,18348798,0
375,802,CE,Masculino,31,1,12501372,1,1,1,18765809,0
376,717,CE,Masculino,35,7,5846937,2,1,1,17245939,0
377,769,MA,Feminino,39,8,0,1,0,1,21016,0
378,745,CE,Masculino,45,10,11723163,3,1,1,12238102,1
379,572,CE,Masculino,35,4,15239026,1,1,0,12812366,0
380,629,CE,Feminino,30,2,3401363,1,1,0,1957063,0
381,687,CE,Feminino,39,2,0,3,0,0,1881506,1
382,483,MA,Feminino,50,9,0,2,1,1,11102024,0
383,690,MA,Masculino,36,7,10158311,2,1,0,12377515,0
384,492,CE,Feminino,30,10,7716887,2,0,1,14670022,0
385,709,CE,Masculino,28,8,12469572,2,1,0,14525135,0
386,705,CE,Masculino,44,3,10593496,1,1,0,8246369,0
387,560,MA,Feminino,66,9,0,1,1,1,1592849,0
388,611,CE,Masculino,46,6,0,2,1,0,4588633,0
389,730,CE,Masculino,62,2,0,2,1,1,18648995,0
390,709,CE,Feminino,45,2,0,2,0,1,16292265,0
391,544,MA,Feminino,21,10,16152596,2,1,0,926277,0
392,712,CE,Feminino,29,7,14719907,1,1,1,849324,0
393,752,CE,Masculino,38,3,18310229,1,1,1,7155712,0
394,648,CE,Masculino,46,9,127209,2,1,0,7740595,1
395,556,CE,Masculino,38,8,0,2,0,0,41741,1
396,594,CE,Feminino,24,0,9737854,1,1,1,7140517,0
397,645,CE,Feminino,37,2,13692509,2,0,1,15340024,0
398,557,MA,Masculino,33,3,5450355,1,1,1,37105,0
399,547,CE,Masculino,32,8,15572685,1,1,0,6778999,0
400,701,MA,Feminino,39,9,0,2,0,1,1458949,0
401,616,MA,Feminino,66,1,13584241,1,1,0,18384051,1
402,605,MA,Masculino,52,1,6334975,1,1,0,10888744,0
403,593,CE,Feminino,38,4,12949942,1,1,1,15407127,0
404,751,CE,Masculino,52,8,0,2,0,1,17929185,0
405,443,CE,Masculino,36,6,7043801,2,0,1,5693743,0
406,685,MA,Masculino,23,8,0,2,1,1,11223903,0
407,718,MA,Masculino,36,9,0,1,1,0,4590987,0
408,538,CE,Feminino,49,9,14143404,1,0,0,17377925,1
409,611,CE,Feminino,37,4,0,2,1,0,12569626,0
410,668,CE,Masculino,37,10,15295829,2,1,1,15958561,0
411,537,CE,Feminino,41,3,13830634,1,1,0,10676147,0
412,709,CE,Masculino,23,10,0,2,0,0,12959018,0
413,850,MA,Masculino,38,1,0,2,1,1,8000665,0
414,745,CE,Feminino,31,3,12432884,1,1,1,14045152,0
415,693,CE,Feminino,41,9,18146148,3,1,1,18792943,1
416,795,CE,Masculino,35,8,0,2,1,0,16715536,0
417,626,CE,Masculino,26,8,0,2,0,0,19142071,0
418,487,CE,Feminino,61,5,11036803,1,0,0,1138445,1
419,556,MA,Feminino,39,9,8958835,1,1,1,948981,0
420,643,MA,Feminino,46,6,0,2,0,0,10678159,0
421,605,MA,Feminino,28,6,0,2,0,0,15950852,0
422,756,CE,Feminino,60,3,11592489,1,1,0,9352419,1
423,586,MA,Feminino,38,2,0,2,1,0,8716846,0
424,535,CE,Masculino,40,7,1117565,1,1,0,812832,1
425,678,MA,Feminino,35,4,0,1,1,0,12551832,0
426,596,MA,Masculino,39,9,0,1,1,0,4896359,0
427,648,MA,Masculino,26,9,16292385,1,1,0,9836824,0
428,492,CE,Masculino,39,10,12457665,2,1,0,,0
429,702,MA,Masculino,45,0,8079358,1,1,1,2747481,0
430,486,CE,Feminino,40,9,7134009,1,1,0,7619221,0
431,568,CE,Masculino,40,1,9928263,1,0,0,13460094,1
432,619,CE,Masculino,57,3,13794639,1,1,1,7246799,1
433,724,CE,Masculino,41,2,12789257,2,0,1,19964545,0
434,548,CE,Feminino,33,0,10108436,1,1,0,4274985,0
435,545,CE,Feminino,37,8,11475408,1,1,0,13605044,1
436,683,MA,Masculino,33,8,0,1,0,0,7356444,0
437,762,MA,Feminino,51,3,9928698,1,0,1,8557863,0
438,627,CE,Feminino,30,4,7987102,2,1,0,12982689,0
439,516,MA,Masculino,35,10,10408859,2,0,0,119666,0
440,800,MA,Feminino,38,2,16819033,2,1,0,6805208,0
441,464,CE,Feminino,42,3,8567925,1,1,1,16410474,0
442,626,MA,Feminino,35,3,0,1,0,0,8019036,0
443,790,MA,Feminino,31,9,0,2,1,0,8412675,0
444,534,MA,Feminino,34,7,12155158,2,1,1,70179,0
445,745,MA,Masculino,46,2,12222019,1,1,1,1180241,0
446,553,CE,Masculino,47,3,11652815,1,0,0,14570419,1
447,748,MA,Feminino,26,1,7778029,1,0,1,18304941,0
448,722,MA,Masculino,37,2,0,1,0,0,12090683,0
